900	XP X 5000|Nothing|Tanky|Speed Up|Nothing|White Cat|Cat CPU|Nothing|Fortressy|Rich Cat|Sniper the Cat|Treasure Radar|Rare Ticket|Cat Jobs
901	Rare Ticket|XP X 50000|Rare Ticket|XP X 100000|Rare Ticket|XP X 200000|Rare Ticket|XP X 300000|Rare Ticket
902	Rare Ticket
903	Cat Food X 30|XP X 10000|Speed Up|Cat Food X 30|XP X 20000|Rich Cat|Cat Food X 30|XP X 30000|Treasure Radar|Cat Food X 50|Cat Ticket|Cat CPU|Sniper the Cat|Cat Jobs
904	Li'l Homura
905	XP X 5000|Speed Up|Rich Cat|Treasure Radar|Cat CPU|Sniper the Cat|Rare Ticket
906	XP X 5000|Speed Up|Rich Cat|XP X 10000|Treasure Radar|Cat CPU|XP X 15000|Sniper the Cat|Rare Ticket|XP X 20000|Cat CPU|Treasure Radar|Cat Ticket|Cat Jobs
907	XP X 50000|Cat Food X 10|Cat Ticket X 2|Cat Food X 15|Rare Ticket|Cat Food X 25|XP X 100000
908	CPAC
909	Cat Food X 20|Sniper the Cat|Speed Up|Cat Food X 20|Cat Ticket|Cat Jobs|Yuki Cat|XP X 30000|Cat Ticket X 2|Cat Food X 30|Rare Ticket|Cat Food X 30|Rich Cat|Treasure Radar
910	Capsule Cat
912	ぐでたまにゃんこ
913	Unknown
914	おでん
915	ノラ
916	XP X 5000|Speed Up|Cat CPU|XP X 10000|Cat Ticket, Saber the Cat|Rich Cat|Sniper the Cat|XP X 15000|Treasure Radar|Shirou the Cat|XP X 20000|Rare Ticket|Cat CPU|Cat Jobs
917	Li'l Sakura
918	Rare Ticket|Cat Ticket|Speed Up X 5|XP X 555|Coin Cat|Rare Ticket|Cat Ticket|Rich Cat X 5|XP X 5555|Rare Ticket|Cat Ticket|Cat CPU X 5|XP X 55555|Rare Ticket|Cat Ticket|Sniper the Cat X 5|Cat Jobs X 5|Rare Ticket|Cat Ticket
919	Cat Food X 20|Speed Up|Sniper the Cat|Cat Food X 20|Cat Ticket|Cat Jobs|Cat Ticket, Merc|XP X 30000|Cat Ticket X 2|Cat Food X 30|Rare Ticket|Cat Food X 30|Rich Cat|Treasure Radar
920	Titi
921	Farmer Cat
922	Satori Hikami & Cat
923	Imoto
924	XP X 5000|Speed Up|Cat CPU|XP X 10000|Cat Ticket, Gendo & Fuyutsuki Cats|Rich Cat|Sniper the Cat|XP X 15000|Treasure Radar|Rare Ticket|XP X 20000|Cat CPU|Cat Ticket|Cat Jobs
925	Kaworu & Cat
926	白にゃんこ剣士
927	Nekokkuma
928	Cat Food X 20|Speed Up|Sniper the Cat|Cat Food X 20|Cat Ticket|Cat Jobs|Cat Ticket, ゴーレム|XP X 30000|Cat Ticket X 2|Cat Food X 30|Rare Ticket|Cat Food X 30|Rich Cat|Treasure Radar
929	Happy 100
